Designator,Mid X,Mid Y,Rotation,Layer
C1,15.5702,2.7432,-90,bottom
C11,16.1412,11.3946,0,bottom
C13,3.1412,12.2474,0,bottom
C14,16.1412,12.9948,0,bottom
C2,2.1412,5.2474,0,bottom
C3,16.1412,8.1474,0,bottom
C4,3.1412,7.7474,180,bottom
C5,9.6412,15.998,0,bottom
C6,9.6412,17.5474,0,bottom
C7,11.2014,1.397,180,top
C8,7.9502,1.397,0,top
D1,15.3934,1.2192,180,top
D3,9.6412,12.2474,180,bottom
J4,9.6012,-0.38154,0,top
R2,3.1666,10.6474,0,bottom
R3,17.7412,14.7474,0,bottom
R7,16.1412,9.8474,0,bottom
U1,9.8044,4.572,270,bottom
U3,2.7412,1.4474,0,top
U4,9.6412,10.9974,0,top
